problem,method,mean_rotation_error_deg,mean_translation_error,mean_loss,success_rate_rot_le_5deg
axbycz,GNN-CORO,12.880324713701981,0.38520847037591327,0.2966473702430804,0.0375
axbycz,GNN-SVD,12.880324713595579,0.3852084703758976,0.2966473702432178,0.0375
axbycz,ZNN-CORO,0.9008773299050871,0.028500704228175237,0.0004957048523267209,1.0
axbycz,ZNN-SVD,0.9008773283492901,0.028500704228175015,0.0004957048523274878,1.0
hand_eye,GNN-CORO,9.141042301310069,0.3040561528080294,0.049085878227319565,0.2625
hand_eye,GNN-SVD,9.141042300899198,0.30405615280802445,0.04908587822734272,0.2625
hand_eye,ZNN-CORO,0.40386887560854506,0.013286086609979634,0.00038141616512391257,1.0
hand_eye,ZNN-SVD,0.403868871724402,0.013286086609979628,0.0003814161651243975,1.0
rwhe,GNN-CORO,10.14340598226815,0.32411808331812964,0.1756614413027896,0.1375
rwhe,GNN-SVD,10.143405982096512,0.32411808331811026,0.17566144130288092,0.1375
rwhe,ZNN-CORO,0.6025927293304882,0.019489342798484122,0.00032522597789419667,1.0
rwhe,ZNN-SVD,0.6025927268587206,0.019489342798484126,0.0003252259778953355,1.0
