problem,method,rotation_error_deg,translation_error,loss,success_rot_le_5deg,trial
hand_eye,ZNN-SVD,1.0258755737614107,0.018234005417954852,0.00021990756613240566,1.0,0.0
rwhe,ZNN-SVD,0.4345294953024009,0.007205515643741355,0.00026529540961346817,1.0,0.0
axbycz,ZNN-SVD,0.7858225079917348,0.013589727870345583,0.00068457226682854,1.0,0.0
hand_eye,ZNN-CORO,1.0258755749630044,0.018234005417954852,0.00021990756613117255,1.0,0.0
rwhe,ZNN-CORO,0.43452949813574976,0.007205515643741331,0.00026529540961148414,1.0,0.0
axbycz,ZNN-CORO,0.7858225095575737,0.013589727870344862,0.0006845722668300918,1.0,0.0
hand_eye,GNN-SVD,15.88353523797206,0.2139455031198845,0.054562300704744236,0.0,0.0
rwhe,GNN-SVD,10.820710261679167,0.2973700238227462,0.1194844396020277,0.0,0.0
axbycz,GNN-SVD,13.203005793202005,0.4406875533201654,0.16325980069627336,0.0,0.0
hand_eye,GNN-CORO,15.883535238048294,0.21394550311988456,0.054562300704724113,0.0,0.0
rwhe,GNN-CORO,10.820710261792339,0.29737002382276667,0.11948443960197126,0.0,0.0
axbycz,GNN-CORO,13.203005793293409,0.44068755332017695,0.16325980069621368,0.0,0.0
hand_eye,ZNN-SVD,0.5333156139749483,0.006958918093902434,0.0007415659887218092,1.0,1.0
rwhe,ZNN-SVD,0.5749296432248909,0.008057207283894767,0.00030985879722966286,1.0,1.0
axbycz,ZNN-SVD,0.9277214789739779,0.027842797945117383,0.00034733866682278117,1.0,1.0
hand_eye,ZNN-CORO,0.5333156162821199,0.006958918093902409,0.00074156598872066,1.0,1.0
rwhe,ZNN-CORO,0.5749296453701436,0.008057207283894658,0.0003098587972286091,1.0,1.0
axbycz,ZNN-CORO,0.9277214802995456,0.02784279794511863,0.00034733866682491336,1.0,1.0
hand_eye,GNN-SVD,3.6072414450264096,0.14825077636210635,0.011493200306009069,1.0,1.0
rwhe,GNN-SVD,15.87550104002037,0.4144392069833295,0.29140153174753297,0.0,1.0
axbycz,GNN-SVD,16.535058463894106,0.3270436362296387,0.40783212331795526,0.0,1.0
hand_eye,GNN-CORO,3.607241445367332,0.14825077636210285,0.011493200306010523,1.0,1.0
rwhe,GNN-CORO,15.875501040096552,0.41443920698334297,0.29140153174744365,0.0,1.0
axbycz,GNN-CORO,16.535058463968532,0.32704363622963856,0.40783212331768526,0.0,1.0
hand_eye,ZNN-SVD,0.49585529451223215,0.010057136332791657,0.0004312174392822701,1.0,2.0
rwhe,ZNN-SVD,0.8064190824802902,0.013384792147211883,0.0002939647930177072,1.0,2.0
axbycz,ZNN-SVD,1.2858817020544997,0.0472796631435828,0.00038456345407854065,1.0,2.0
hand_eye,ZNN-CORO,0.49585529699369857,0.010057136332791657,0.00043121743928309803,1.0,2.0
rwhe,ZNN-CORO,0.8064190840070428,0.013384792147211869,0.00029396479301647336,1.0,2.0
axbycz,ZNN-CORO,1.2858817030131597,0.047279663143582465,0.000384563454075301,1.0,2.0
hand_eye,GNN-SVD,9.386928103267733,0.1707634436174277,0.039765641242256074,0.0,2.0
rwhe,GNN-SVD,11.091761023477034,0.21070106320281917,0.11999366915474202,0.0,2.0
axbycz,GNN-SVD,10.947298593533084,0.32320345842319087,0.24576265336164438,0.0,2.0
hand_eye,GNN-CORO,9.386928103398075,0.17076344361743395,0.03976564124223619,0.0,2.0
rwhe,GNN-CORO,11.091761023586544,0.21070106320281468,0.11999366915467315,0.0,2.0
axbycz,GNN-CORO,10.947298593644895,0.3232034584232068,0.2457626533615553,0.0,2.0
hand_eye,ZNN-SVD,0.22900931499230226,0.01719944694032463,0.0005885827952290646,1.0,3.0
rwhe,ZNN-SVD,0.10556628239590751,0.006191327945366023,0.0002598206127997909,1.0,3.0
axbycz,ZNN-SVD,0.8718789450714467,0.01934109104081904,0.0002885119336273137,1.0,3.0
hand_eye,ZNN-CORO,0.22900932036516736,0.017199446940324613,0.0005885827952275416,1.0,3.0
rwhe,ZNN-CORO,0.10556629405836664,0.0061913279453661065,0.00025982061280089663,1.0,3.0
axbycz,ZNN-CORO,0.8718789464844161,0.01934109104081869,0.0002885119336266625,1.0,3.0
hand_eye,GNN-SVD,1.711134807952427,0.22742242088395162,0.009718922188569226,1.0,3.0
rwhe,GNN-SVD,5.597441482136283,0.3377723082616817,0.12577864735683308,0.0,3.0
axbycz,GNN-SVD,16.552242302706222,0.40629422858553477,0.5256668213611466,0.0,3.0
hand_eye,GNN-CORO,1.71113480867246,0.2274224208839544,0.009718922188562783,1.0,3.0
rwhe,GNN-CORO,5.5974414823560625,0.3377723082616992,0.1257786473567701,0.0,3.0
axbycz,GNN-CORO,16.5522423027766,0.40629422858554654,0.525666821360878,0.0,3.0
hand_eye,ZNN-SVD,0.5954245379108509,0.0064985669220739666,0.00039500312034948596,1.0,4.0
rwhe,ZNN-SVD,0.5609310629691239,0.026841770749658357,0.0001995380876427537,1.0,4.0
axbycz,ZNN-SVD,0.5825088707809862,0.021214001797710175,0.0004666042748596742,1.0,4.0
hand_eye,ZNN-CORO,0.5954245399785923,0.006498566922074018,0.00039500312035025705,1.0,4.0
rwhe,ZNN-CORO,0.5609310651627134,0.026841770749658392,0.00019953808764364817,1.0,4.0
axbycz,ZNN-CORO,0.5825088728908188,0.02121400179770984,0.00046660427485896135,1.0,4.0
hand_eye,GNN-SVD,8.42289725700693,0.6494349229339856,0.14359748310871118,0.0,4.0
rwhe,GNN-SVD,4.289499828314598,0.33472972987850236,0.12278421187081258,1.0,4.0
axbycz,GNN-SVD,12.175889754559984,0.2131705110443431,0.23823793731663054,0.0,4.0
hand_eye,GNN-CORO,8.422897257152323,0.6494349229339929,0.1435974831086688,0.0,4.0
rwhe,GNN-CORO,4.289499828601884,0.33472972987850086,0.12278421187079698,1.0,4.0
axbycz,GNN-CORO,12.175889754664338,0.21317051104435417,0.23823793731660914,0.0,4.0
hand_eye,ZNN-SVD,0.2759292624451781,0.020504096486541622,0.000437304270511095,1.0,5.0
